Molecule_Name,Database_ID,Canonical_SMILES,Target_Pathway_or_Gene,Assay_Type_and_System,Biological_Activity,Academic_Reference,Molecular_Weight,LogP,TPSA,HBD,HBA,Rotatable_Bonds,Aromatic_Rings,Fraction_CSP3,Heavy_Atoms,QED_Drug_Likeness,Pharmacological_Category,Predicted_Potency_Class,Potency_Code
Trametinib,PubChem CID: 11707110 / ChEMBL2105759,Cc1c(C)n(-c2ccc(I)cc2)c(=O)n(-c2c(F)cc(I)cc2Nc2c(C(=O)NO)ccc(F)c2F)c1=O,Ras/MAPK pathway (Drosophila Dsor1 / MEK inhibitor),In vivo Larval eye disc (RasV12/scrib-/- tumor model),Tumor suppression & rescue of pupation at 10 uM,PMID: 26084728 / DOI: 10.1038/nature14481,748.24,5.09,105.36,3,5,5,4,0.08,38,0.15,Hedefe Yönelik İnhibitör,Orta Potans (5-25 uM),1
Rapamycin,PubChem CID: 5284616 / ChEMBL413,CO[C@@H]1C[C@@H](OC)O[C@]2(O)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H]([C@H](C)C[C@@H]3CC[C@@H](O)[C@H](OC)C3)/C(C)=C/C=C/C=C/[C@@H](C)C[C@@H](C)C(=O)[C@H](OC)[C@H](O)/C(C)=C/[C@@H](C)C(=O)C[C@H]2[C@H](C)C1,PI3K/Akt/Tor pathway (Drosophila dTORC1 inhibitor),In vivo Gut intestinal stem cell (ISC) overgrowth & S2 cells,IC50 = 4.2 nM (S2 cell viability); 5 uM gut rescue,PMID: 19898491 / DOI: 10.1016/j.stem.2009.08.019,944.21,6.01,204.66,3,14,7,0,0.75,67,0.152,Hedefe Yönelik İnhibitör,Yüksek Potans (Sub-mikromolar / <1-5 uM),2
Methotrexate,PubChem CID: 126941 / ChEMBL398967,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,JAK/STAT pathway & DHFR (Suppresses Dome/Hopscotch signaling),In vivo Larval blood neoplasia (hopTum-l) & eye discs,Suppression of melanotic tumors at 10-50 uM,PMID: 25688914 / DOI: 10.1242/dmm.019182,454.45,0.27,210.54,5,10,9,3,0.25,33,0.295,Geleneksel Kemoterapötik,Düşük Potans / Diyet Düzeyi (>25 uM),0
Carboplatin,PubChem CID: 426756 / ChEMBL477,N.N.O=C(O)C1(C(=O)O)CCC1.[Pt],DNA crosslinking / Genotoxic stress (Drosophila p53 & Dmp53),In vivo Larval eye-antennal imaginal disc tumor model,EC50 = 12.5 uM (Induction of apoptosis in tumor discs),PMID: 28416629 / DOI: 10.1038/srep46261,373.27,0.65,144.6,4,4,2,0,0.667,13,0.523,Geleneksel Kemoterapötik,Yüksek Potans (Sub-mikromolar / <1-5 uM),2
Gemcitabine,PubChem CID: 60750 / ChEMBL888,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,Ribonucleotide Reductase (RnrS/RnrL) & DNA synthesis,In vivo Intestinal stem cell (ISC) hyper-proliferation model,Growth arrest & apoptosis at 5 uM,PMID: 31278148 / DOI: 10.7554/eLife.46987,263.2,-1.29,110.6,3,6,2,1,0.556,18,0.612,Geleneksel Kemoterapötik,Orta Potans (5-25 uM),1
Curcumin,PubChem CID: 969516 / ChEMBL247,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,JNK/AP-1 & Wnt/Wingless pathway downregulation,In vivo RasV12/scrib-/- epithelial tumor invasion & S2 cells,IC50 = 15.8 uM (S2 viability); Inhibits invasion at 25 uM,PMID: 29332219 / DOI: 10.1038/s41598-017-18758-5,368.39,3.37,93.06,2,6,8,2,0.143,27,0.548,Doğal / Fitokimyasal Ajan,Orta Potans (5-25 uM),1
Resveratrol,PubChem CID: 445154 / ChEMBL128,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,"Sir2 (SIRT1 homolog) activation, Akt/Tor suppression",In vivo Paraquat/Rotenone-induced intestinal stem cell tumor,Suppression of stem cell overgrowth at 100 uM diet,PMID: 22768164 / DOI: 10.1016/j.cmet.2012.06.002,228.25,2.97,60.69,3,3,2,2,0.0,17,0.692,Doğal / Fitokimyasal Ajan,Düşük Potans / Diyet Düzeyi (>25 uM),0
Toyocamycin,PubChem CID: 16182 / ChEMBL291910,N#Cc1c(N)c2c(N)ncnc2n1C1OC(CO)C(O)C1O,IRE1-XBP1 pathway (Endoplasmic Reticulum UPR branch),In vivo Eye disc neoplasia (Xbp1-dependent survival),IC50 = 2.4 uM (Blockade of XBP1 mRNA splicing),PMID: 25175549 / DOI: 10.1016/j.str.2014.07.014,306.28,-1.92,176.46,5,9,2,2,0.417,22,0.423,Doğal / Fitokimyasal Ajan,Orta Potans (5-25 uM),1
Sorafenib,PubChem CID: 216239 / ChEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,Raf kinase / Pvr (Drosophila VEGFR/PDGFR homolog),In vivo dRaf/dSrc oncogenic transformation in eye disc,Rescue of rough-eye phenotype at 15 uM,PMID: 24204400 / DOI: 10.1038/onc.2013.468,464.83,5.55,92.35,3,4,5,3,0.095,32,0.461,Hedefe Yönelik İnhibitör,Orta Potans (5-25 uM),1
Doxorubicin,PubChem CID: 31703 / ChEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C(OC1CC(N)C(O)C(C)O1)CC(O)(C(=O)CO)C3,Topoisomerase II (Drosophila Top2) & DNA damage,In vitro S2 cell line & in vivo larval imaginal disc,IC50 = 0.85 uM (S2 proliferation assay),PMID: 21820542 / DOI: 10.1371/journal.pone.0022986,543.53,0.0,206.07,6,12,5,2,0.444,39,0.235,Geleneksel Kemoterapötik,Yüksek Potans (Sub-mikromolar / <1-5 uM),2
Gefitinib,PubChem CID: 123631 / ChEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR pathway (Drosophila Egfr / DER tyrosine kinase),In vivo Egfr/Ras-driven tracheal and eye hyper-growth,EC50 = 5.6 uM (Inhibition of ectopic wing vein formation),PMID: 23685354 / DOI: 10.1016/j.ydbio.2013.04.032,446.91,4.28,68.74,1,7,8,3,0.364,31,0.518,Hedefe Yönelik İnhibitör,Orta Potans (5-25 uM),1
Bortezomib,PubChem CID: 387447 / ChEMBL325041,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,26S Proteasome / NF-kB (Relish / Dorsal degradation block),In vitro S2 cells & in vivo RasV12 disc overgrowth,IC50 = 28 nM (Inhibition of proteasome chymotrypsin activity),PMID: 28249978 / DOI: 10.1242/bio.023226,384.25,0.36,124.44,4,6,9,2,0.368,28,0.463,Hedefe Yönelik İnhibitör,Yüksek Potans (Sub-mikromolar / <1-5 uM),2
